acc_id,cust_id,current_bal
quaerat,8757,aliquam
animi,7190,vero
non,5397,maiores
praesentium,4217,quae
in,9516,laboriosam
iusto,6422,illo
laborum,6147,repellat
explicabo,2433,veniam
explicabo,4989,nulla
id,8150,dicta
corrupti,5308,voluptatibus
animi,8051,pariatur
ipsa,3159,non
blanditiis,7265,animi
doloremque,4708,vero
beatae,4187,maiores
quos,6298,eum
voluptatem,6704,maiores
culpa,7916,facilis
labore,2788,harum
consequatur,8629,molestiae
cumque,6738,accusamus
dolor,6800,provident
veniam,1291,deserunt
deserunt,8285,eius
fuga,2475,quia
minima,4850,reiciendis
nesciunt,2460,neque
quo,5440,quis
praesentium,6615,quo
nulla,1336,vitae
fugit,7603,consequuntur
quam,6328,quod
aliquid,3912,architecto
porro,2158,eum
eum,1475,nihil
voluptas,7177,perferendis
quibusdam,7468,voluptas
minima,1303,corrupti
architecto,8356,rerum
possimus,1742,inventore
quis,4367,sapiente
aperiam,5500,ab
natus,7157,iure
sunt,4733,officia
animi,3706,alias
ipsam,3187,nulla
nesciunt,6954,reprehenderit
expedita,4307,eligendi
aliquid,3759,aperiam
fuga,5794,dicta
quod,7905,quo
facilis,6022,rerum
temporibus,2275,nesciunt
provident,1893,non
consequuntur,6418,ab
doloribus,6120,nihil
omnis,9920,deleniti
optio,5802,est
aliquam,2687,vel
et,7830,rem
mollitia,7816,aut
ducimus,1143,id
ducimus,8079,officia
minus,9142,cupiditate
dolor,7744,veritatis
deleniti,6614,sapiente
quis,3646,ullam
eum,2673,culpa
ipsa,9160,exercitationem
quia,4664,iure
sapiente,6798,quas
sit,6664,tempora
ab,3799,repudiandae
at,5124,dicta
officia,9175,quas
sint,8946,deserunt
saepe,1140,iste
ipsam,5204,culpa
placeat,4301,enim
natus,4251,excepturi
provident,2995,maxime
placeat,4358,nisi
cupiditate,8965,facere
sapiente,5318,incidunt
sequi,6547,praesentium
quia,6050,accusantium
fuga,8469,iste
dolores,6034,nostrum
tenetur,7267,autem
optio,5843,fugit
possimus,2805,error
nihil,3093,architecto
mollitia,4123,molestias
mollitia,4716,rem
ab,6888,aperiam
officiis,9921,enim
quod,5857,ipsum
aliquam,1873,placeat
excepturi,2274,maiores
officia,3013,libero
quas,6937,ab
ipsam,9692,odit
facilis,3013,iste
a,8618,error
perferendis,1157,delectus
impedit,4058,suscipit
nesciunt,7508,accusantium
aut,6437,accusantium
consectetur,5467,distinctio
optio,1933,qui
provident,1308,nam
voluptatum,7287,dolore
provident,1124,quos
aliquam,9803,accusamus
velit,5868,similique
quasi,9111,molestias
soluta,8652,sit
omnis,7655,at
occaecati,5091,itaque
cupiditate,7684,vel
porro,7398,aperiam
dolorum,3600,eligendi
assumenda,3448,doloremque
dolorum,7304,quia
similique,3420,aliquam
nihil,5021,sed
doloribus,2168,quam
aspernatur,7353,quasi
aperiam,8474,itaque
quaerat,1477,neque
aliquid,4855,veniam
delectus,1669,similique
illum,6748,inventore
minima,5030,at
eum,9508,fugit
incidunt,4140,at
eos,9767,deleniti
pariatur,2823,impedit
quos,6304,qui
accusantium,4446,repellat
eius,1995,eaque
voluptatem,8369,ex
molestiae,4411,optio
odio,9874,ad
reiciendis,7094,dolor
culpa,6683,eum
nostrum,3663,officiis
voluptas,7178,amet
quasi,3991,perspiciatis
consectetur,4663,quod
facere,4751,sapiente
ipsum,3138,amet
quis,6107,nisi
autem,7355,quia
asperiores,6151,reprehenderit
natus,4100,nisi
quis,4564,error
repudiandae,6029,fuga
temporibus,2582,quam
laudantium,5047,mollitia
aliquam,3716,nostrum
ipsam,8684,nulla
quasi,9791,doloremque
ea,5002,velit
mollitia,6172,ratione
dicta,6949,culpa
laborum,7107,praesentium
voluptas,9761,ratione
repellat,3306,occaecati
id,2684,quam
eius,2726,id
a,2656,eaque
deserunt,7900,sunt
debitis,3912,ad
id,5644,quasi
odio,8525,rem
repudiandae,4884,fugit
reiciendis,8524,architecto
ratione,6048,illo
blanditiis,2222,magni
aut,8870,modi
officiis,3368,soluta
asperiores,8177,tempore
quasi,6914,odio
officia,3254,quia
sed,4141,eius
tempora,8829,labore
doloremque,8952,perferendis
expedita,9474,perferendis
qui,9675,minus
repellendus,6070,atque
natus,9897,minima
perspiciatis,5034,vel
sed,6162,praesentium
nisi,1426,facere
animi,9674,ex
tempora,5788,suscipit
beatae,7357,natus
architecto,9142,nam
aut,1439,itaque
fugit,1313,omnis
laboriosam,1677,dignissimos
ipsa,5310,fuga
fugiat,6587,quam
ducimus,3948,cupiditate
consequatur,1397,pariatur
doloremque,1332,ullam
minus,9281,non
quaerat,8975,nobis
minus,9750,laudantium
dignissimos,4732,ab
aliquid,8186,nesciunt
minus,2732,consequuntur
ipsa,7177,deserunt
molestias,9101,deleniti
neque,4330,sed
ut,2252,atque
aperiam,2438,fuga
iste,8815,corporis
assumenda,4069,ipsa
nobis,8647,deleniti
repellendus,2878,error
quibusdam,7682,modi
libero,7294,consequatur
totam,1126,ipsa
debitis,5969,deserunt
modi,7622,modi
ipsam,4027,accusantium
ea,4442,modi
sit,7842,neque
excepturi,6758,fuga
maiores,8325,quam
corrupti,3315,expedita
rem,5147,quas
aliquam,7437,recusandae
maiores,5161,ad
perspiciatis,7483,iste
alias,4392,aliquid
quos,5653,et
deleniti,6709,optio
facilis,6637,repudiandae
consectetur,1547,suscipit
reiciendis,9495,voluptas
a,5915,ex
dignissimos,5642,eum
est,2216,velit
in,3933,dolorem
eum,1330,pariatur
deleniti,8097,aliquid
iure,8163,mollitia
recusandae,3044,quidem
sint,6380,numquam
rerum,1616,iusto
architecto,7662,reiciendis
quaerat,6368,maiores
earum,6270,impedit
voluptates,9934,ea
odit,3211,laboriosam
dicta,3933,consequatur
repudiandae,8389,perferendis
cumque,5373,fugit
alias,7380,quaerat
possimus,7038,omnis
ducimus,6651,ad
ex,5362,id
sapiente,3472,consectetur
non,2191,ipsum
harum,1637,totam
occaecati,6429,ducimus
asperiores,4604,maxime
quasi,6505,impedit
voluptatum,2736,aperiam
laudantium,5893,sapiente
molestiae,5544,provident
nemo,6348,repellendus
placeat,3656,ad
expedita,4868,rem
voluptate,8313,natus
libero,7720,amet
error,2489,maiores
quasi,7825,eligendi
laboriosam,3013,at
quae,1369,debitis
libero,1494,magni
cumque,2620,mollitia
ipsum,3729,fuga
vitae,6959,soluta
hic,9623,doloribus
quibusdam,4533,deleniti
voluptas,9743,temporibus
dolor,5767,dolore
incidunt,5135,ipsam
culpa,2950,beatae
tempore,4454,sequi
commodi,5259,deleniti
mollitia,2905,minima
nulla,7021,fugit
natus,7736,saepe
aperiam,6046,earum
adipisci,6969,assumenda
maiores,5327,accusantium
veritatis,1813,ipsa
porro,2120,et
aperiam,6748,nostrum
facere,8969,voluptatum
quisquam,1667,voluptatem
consequuntur,1687,adipisci
modi,9519,expedita
doloremque,2107,quia
itaque,6552,temporibus
placeat,9697,asperiores
dolores,5607,modi
eligendi,4614,delectus
quos,3177,voluptatem
dolor,1158,pariatur
temporibus,7461,odio
ad,5656,quia
similique,9880,architecto
doloremque,9478,repellendus
corrupti,7941,perspiciatis
excepturi,9762,eum
illum,8937,provident
consectetur,7304,earum
harum,4387,unde
quis,3799,adipisci
consequuntur,3487,soluta
accusantium,9815,quisquam
quaerat,4784,ipsa
quas,4710,placeat
officiis,9395,necessitatibus
illum,1734,hic
ex,2349,itaque
provident,2788,voluptatum
minus,2653,laudantium
doloremque,9171,reprehenderit
aut,7515,molestias
laudantium,3623,aperiam
ipsa,8978,illo
minima,1715,repellat
sit,7635,aperiam
facere,6761,eum
possimus,6137,voluptatem
dolores,9572,culpa
pariatur,5303,quo
repellat,7130,officiis
quod,3646,dolores
mollitia,1573,eos
nisi,2883,commodi
eaque,5612,dolorem
quisquam,2752,nobis
architecto,2897,eum
minus,7783,ratione
illum,4999,ad
numquam,1392,inventore
veritatis,2812,ullam
occaecati,4987,labore
nulla,8535,vero
dolorum,4587,pariatur
reiciendis,1866,eius
optio,6326,veritatis
mollitia,4491,architecto
dolores,8590,earum
porro,9079,eius
unde,8092,tenetur
eius,6734,laudantium
qui,4945,minus
consequatur,4450,tempora
eaque,8047,pariatur
eos,7903,commodi
deleniti,7206,repellat
quae,9244,inventore
magnam,4701,voluptatem
impedit,9199,odit
temporibus,9328,praesentium
rerum,7873,magnam
dicta,6794,eum
aliquid,9979,aut
numquam,7389,quo
quaerat,9068,perferendis
delectus,7675,ipsum
natus,8070,sit
aliquid,7532,aspernatur
officiis,8020,sed
recusandae,7001,pariatur
vitae,4113,similique
et,7287,consequuntur
dolores,9890,deserunt
sint,6882,accusantium
unde,8719,aliquam
repudiandae,4440,adipisci
inventore,7022,explicabo
molestias,5438,maiores
unde,6350,vero
dolor,8412,iusto
illo,9533,autem
debitis,3670,ducimus
eveniet,3935,soluta
excepturi,3942,voluptates
ab,2103,iusto
velit,2652,quibusdam
eius,9754,rerum
repellat,2862,qui
esse,1506,nostrum
quod,3839,minima
aliquam,2468,aliquid
blanditiis,9817,necessitatibus
excepturi,3049,quos
laborum,4471,soluta
eum,1828,accusantium
perferendis,6922,est
impedit,3786,sit
perferendis,2081,illum
voluptate,3706,dicta
omnis,3355,nihil
itaque,5915,iure
non,1994,magni
at,7533,soluta
vero,8175,mollitia
eveniet,2803,minus
nobis,9581,laborum
commodi,3983,explicabo
repellendus,8282,nesciunt
explicabo,9243,itaque
corporis,9708,rerum
odio,5501,possimus
maxime,8940,optio
saepe,5032,temporibus
asperiores,1435,animi
repellendus,1850,quo
ipsum,8550,fugit
laboriosam,3479,aliquam
expedita,1295,eos
soluta,8880,aperiam
exercitationem,1759,numquam
neque,5533,dolorem
repudiandae,1175,nesciunt
adipisci,7609,nobis
non,7218,magni
tenetur,7707,quasi
in,3608,ex
ad,1603,a
hic,1542,velit
earum,5562,corporis
quod,2958,quo
itaque,5265,deleniti
a,5754,sunt
aperiam,5127,fugiat
ea,5224,assumenda
eius,5436,repudiandae
autem,2483,cumque
minima,1372,ex
aliquam,8397,earum
ipsa,8156,nostrum
modi,1279,consequuntur
illum,4228,totam
pariatur,5016,sequi
aliquam,8723,corporis
dolorum,2205,architecto
quod,1596,distinctio
qui,9269,laudantium
quibusdam,7414,placeat
ex,5493,reiciendis
aperiam,6380,eos
id,6233,inventore
molestias,2424,quod
vel,2488,vel
nobis,3136,necessitatibus
libero,3639,cum
sunt,7424,cum
architecto,5541,totam
voluptatem,8289,laborum
numquam,7778,maxime
fugit,2119,debitis
atque,6371,nobis
fuga,3624,minus
dicta,7886,rem
dicta,4429,nulla
nulla,9709,cum
eius,3381,soluta
eaque,9934,fuga
magni,7956,assumenda
animi,7749,ipsam
aspernatur,3007,sunt
sequi,9675,similique
ipsa,4283,ut
rerum,3504,saepe
quam,2989,alias
nobis,8188,magnam
ab,9994,delectus
harum,7579,minus
aut,6935,minus
nostrum,6332,expedita
minima,7065,dolorum
vel,9322,inventore
eligendi,4332,doloremque
voluptas,9048,cumque
pariatur,1858,minus
illum,6553,architecto
molestiae,7901,cupiditate
consequuntur,2893,quas
ad,6296,error
quod,3758,magni
quibusdam,5529,aspernatur
sit,6908,corporis
nostrum,3879,perspiciatis
facilis,5805,et
quibusdam,4220,voluptatibus
occaecati,3988,dolores
asperiores,6002,harum
vero,5483,delectus
veritatis,9601,libero
doloremque,4105,quos
illum,4500,vitae
praesentium,6451,corrupti
voluptates,8848,voluptate
quibusdam,9891,nisi
beatae,6003,eos
animi,7698,nesciunt
molestiae,3191,fugiat
ullam,3108,iure
dolores,1271,eveniet
cupiditate,8336,sit
adipisci,3136,beatae
quas,4324,tempora
tenetur,9657,quidem
voluptas,8362,quae
et,4609,blanditiis
nesciunt,4425,itaque
quasi,3865,laudantium
modi,2479,labore
saepe,6316,saepe
alias,3708,et
repellat,4795,sequi
debitis,1956,expedita
molestiae,5163,maiores
ullam,4607,perferendis
et,4850,officiis
culpa,3187,aliquid
et,8688,dolore
aspernatur,4037,fugit
mollitia,2494,facere
alias,9468,consequatur
labore,7070,ut
ab,1982,voluptatibus
aliquid,5415,quis
doloremque,8348,velit
nisi,5859,beatae
ab,8850,dolorem
architecto,5088,sint
maiores,4777,quia
nobis,1137,veritatis
earum,5320,quasi
soluta,2367,aperiam
laboriosam,8443,ratione
facere,7426,odio
labore,7017,officia
deserunt,6068,quasi
quas,5547,itaque
asperiores,2954,nesciunt
beatae,5673,nemo
ab,3724,eveniet
asperiores,2022,iure
impedit,7670,similique
recusandae,3023,commodi
unde,1438,impedit
velit,4502,nesciunt
facere,8460,eius
autem,6153,numquam
aut,5443,voluptatibus
quibusdam,7369,natus
nihil,3489,ipsa
labore,6781,illo
eos,9959,a
vitae,1457,placeat
libero,1896,ratione
eaque,9646,illo
atque,7271,quaerat
architecto,2162,pariatur
minima,8373,expedita
at,5233,repellat
laborum,3624,assumenda
eius,8914,suscipit
id,2225,possimus
praesentium,5892,adipisci
recusandae,7688,atque
architecto,8080,perspiciatis
totam,5073,officiis
totam,9986,laboriosam
occaecati,3161,eos
similique,8513,nesciunt
sed,5474,assumenda
voluptatum,6807,repellat
eaque,2426,omnis
dolor,9392,natus
quam,4515,libero
ad,2067,iure
voluptates,9522,aut
labore,6981,repudiandae
qui,8555,assumenda
explicabo,8015,cumque
quibusdam,7756,quaerat
aperiam,1431,alias
cum,6848,dolor
nesciunt,1467,mollitia
temporibus,1098,veniam
voluptates,9685,exercitationem
illum,7840,iusto
voluptas,6571,ad
sunt,7478,eveniet
atque,4666,debitis
vel,9345,enim
blanditiis,8960,nulla
quidem,2641,magnam
aut,3786,quam
itaque,6592,inventore
nulla,2122,ut
sapiente,5280,similique
ullam,7262,dignissimos
atque,7077,debitis
voluptatem,8166,aperiam
optio,2296,iusto
magni,4611,facilis
accusantium,6651,hic
dignissimos,8162,optio
deleniti,6609,sequi
dignissimos,8988,voluptatibus
repellendus,3079,quasi
expedita,6935,tempora
laudantium,4076,fuga
libero,8001,et
reprehenderit,5419,at
quaerat,8616,neque
quam,3470,alias
rem,2947,veritatis
nulla,6342,veritatis
accusamus,6610,harum
perferendis,9178,ipsum
dignissimos,6618,voluptatum
commodi,6017,animi
repellat,5322,quas
animi,7633,sint
tempora,7527,blanditiis
ab,6229,neque
incidunt,4832,laudantium
laudantium,9540,voluptates
iusto,6304,natus
vitae,6101,architecto
deleniti,3430,excepturi
natus,9951,voluptates
nobis,8802,hic
sint,5460,deserunt
omnis,6797,nam
voluptates,2114,vero
eaque,5818,unde
nulla,5361,quis
perferendis,6415,et
fugit,5171,pariatur
dolorem,3815,harum
eligendi,6659,maiores
aspernatur,5016,consectetur
reiciendis,3760,consequatur
eum,4390,magni
amet,1867,ipsum
voluptates,9611,id
odit,3464,ducimus
explicabo,2675,unde
asperiores,9601,repellat
veniam,6545,unde
eligendi,9320,inventore
repellendus,7061,voluptate
molestiae,6294,reiciendis
temporibus,9589,cupiditate
maiores,3626,commodi
architecto,9716,optio
dolores,1830,ex
doloremque,1736,odio
hic,7417,aut
inventore,6473,asperiores
odio,8380,fugit
iusto,9567,minima
reiciendis,3206,ipsam
consectetur,2717,sapiente
sunt,7450,quod
culpa,1314,adipisci
similique,9724,dolor
ad,8555,nulla
ad,3773,nihil
placeat,7844,iste
hic,7534,iste
nesciunt,7756,maxime
at,5015,qui
mollitia,9668,impedit
occaecati,2854,minus
labore,8913,eveniet
nostrum,4185,distinctio
aliquam,3112,voluptates
error,2290,non
minima,3436,debitis
laboriosam,2479,aspernatur
nobis,5254,beatae
soluta,1141,sapiente
nobis,3393,nulla
quibusdam,6558,magnam
earum,4728,praesentium
alias,4953,dicta
quos,2478,quaerat
nesciunt,2022,dolore
reiciendis,2865,hic
magni,1172,excepturi
totam,7797,commodi
ea,8432,dignissimos
eos,3550,unde
repellendus,7618,laboriosam
itaque,9245,minima
asperiores,5459,laborum
necessitatibus,4497,cumque
omnis,8898,aliquid
veniam,7004,consectetur
commodi,4048,nam
excepturi,2044,doloremque
incidunt,2785,minima
numquam,6097,eius
officiis,1867,eveniet
et,5484,voluptate
porro,3131,adipisci
corrupti,1616,pariatur
cupiditate,4848,consequatur
aspernatur,2796,autem
tenetur,2182,assumenda
velit,5940,quo
architecto,2317,veniam
doloribus,6104,nostrum
tenetur,5100,itaque
ducimus,4836,aspernatur
ex,3290,quasi
at,6618,quasi
neque,4645,officia
totam,4676,at
architecto,9097,deleniti
sapiente,4913,eius
neque,4246,consequatur
quae,1987,eius
reiciendis,4003,fugiat
laborum,9497,porro
culpa,2796,quas
minima,1835,libero
laboriosam,8898,nam
repudiandae,9402,quas
nostrum,8971,commodi
sint,8840,quia
pariatur,4335,inventore
atque,2476,consequuntur
sapiente,4216,architecto
nesciunt,3516,voluptates
neque,2210,quaerat
iusto,5136,occaecati
tempora,9989,quidem
assumenda,5474,amet
blanditiis,6688,quos
reprehenderit,1589,numquam
porro,3266,sequi
maxime,8081,blanditiis
minus,9994,necessitatibus
fuga,9732,fugiat
possimus,2647,exercitationem
debitis,6810,quae
numquam,3223,cumque
fugit,5603,minima
minima,4845,fugiat
voluptas,1592,ipsum
earum,9663,itaque
corporis,9332,similique
recusandae,4277,laborum
praesentium,1044,perspiciatis
cupiditate,4644,sint
facilis,8327,voluptatibus
tenetur,7773,aspernatur
laudantium,3911,doloribus
libero,4912,praesentium
natus,9070,nihil
soluta,5464,est
eaque,3200,vel
officia,3251,dolorem
ex,2644,laborum
hic,7816,deleniti
unde,6099,dicta
voluptatem,7930,eum
aliquam,7322,facere
assumenda,7514,adipisci
maiores,4546,ut
omnis,5100,dolores
hic,1300,delectus
incidunt,8800,quasi
odit,6908,necessitatibus
velit,4092,nobis
delectus,8369,recusandae
a,5173,tempora
illum,7072,aspernatur
officiis,6665,vero
molestias,7874,aspernatur
delectus,3376,soluta
animi,8033,rem
temporibus,7003,cum
esse,1416,quisquam
voluptatum,4411,possimus
consequuntur,2155,quia
qui,3518,voluptatem
ipsum,5437,hic
quod,3121,sit
ad,5616,magnam
commodi,7346,suscipit
officia,3718,adipisci
dolores,2945,numquam
velit,3151,magnam
accusamus,7451,quo
ad,1423,voluptas
possimus,4350,exercitationem
molestiae,7032,tempora
at,5231,officia
dolorum,3901,temporibus
dolores,5353,voluptate
